Date	,Precipitation (mm)	,Max Temp (C)	,Min Temp (C)	,Snowfall (mm)	,Snow Depth(mm)	,Cold Stress Events	,Heat Stress Events
2020-05-22	,0.0	,25.314285714285724	,11.028571428571432	,0.0	,None	,None	,None
2020-05-23	,0.0	,24.43333333333333	,8.266666666666667	,0.0	,None	,8.266666666666667	,None
2020-05-24	,0.0	,26.677777777777784	,11.911111111111111	,0.0	,None	,None	,None
2020-05-25	,0.0	,29.511111111111116	,13.400000000000004	,0.0	,None	,None	,None
2020-05-26	,0.0	,33.922222222222224	,17.355555555555558	,0.0	,None	,None	,33.922222222222224
2020-05-27	,0.0	,35.43333333333333	,18.655555555555555	,0.0	,None	,None	,35.43333333333333
2020-05-28	,0.0	,36.58888888888889	,18.166666666666668	,0.0	,None	,None	,36.58888888888889
2020-05-29	,0.0	,35.48888888888889	,16.055555555555557	,0.0	,None	,None	,35.48888888888889
2020-05-30	,0.0	,29.08888888888889	,14.000000000000002	,0.0	,None	,None	,None
2020-05-31	,0.07272727272727274	,25.500000000000004	,11.844444444444447	,0.0	,None	,None	,None
2020-06-01	,0.0	,23.5375	,13.7625	,0.0	,None	,None	,None
2020-06-02	,0.0	,28.325000000000003	,15.5	,0.0	,None	,None	,None
2020-06-03	,0.0	,34.25000000000001	,15.625000000000004	,0.0	,None	,None	,34.25000000000001
2020-06-04	,0.0	,36.31249999999999	,18.2125	,0.0	,None	,None	,36.31249999999999
2020-06-05	,0.0	,33.4125	,13.737500000000002	,0.0	,None	,None	,33.4125
2020-06-06	,0.0	,26.387500000000006	,8.95	,0.0	,None	,8.95	,None
2020-06-07	,0.0	,20.7875	,5.75	,0.0	,None	,5.75	,None
2020-06-08	,0.0	,22.78333333333334	,7.133333333333333	,0.0	,None	,7.133333333333333	,None
2020-06-09	,0.0	,27.5	,10.116666666666667	,0.0	,None	,None	,None
2020-06-10	,0.0	,30.81666666666667	,12.583333333333336	,0.0	,None	,None	,None
2020-06-11	,0.0	,32.900000000000006	,16.383333333333333	,0.0	,None	,None	,32.900000000000006
2020-06-12	,0.0	,29.083333333333336	,11.200000000000001	,0.0	,None	,None	,None
2020-06-13	,1.17	,23.066666666666674	,7.600000000000001	,0.0	,None	,7.600000000000001	,None
2020-06-14	,0.0	,25.1	,9.200000000000003	,0.0	,None	,None	,None
2020-06-15	,0.0	,27.76666666666667	,11.866666666666667	,0.0	,None	,None	,None
2020-06-16	,0.0	,26.66666666666667	,10.283333333333335	,0.0	,None	,None	,None
2020-06-17	,0.0	,27.233333333333334	,11.000000000000002	,0.0	,None	,None	,None
2020-06-18	,0.0	,30.450000000000003	,13.150000000000002	,0.0	,None	,None	,None
2020-06-19	,0.0	,33.13333333333334	,15.933333333333334	,0.0	,None	,None	,33.13333333333334
2020-06-20	,0.0	,33.71666666666667	,16.400000000000002	,0.0	,None	,None	,33.71666666666667
2020-06-21	,0.0	,34.43333333333334	,15.816666666666668	,0.0	,None	,None	,34.43333333333334
2020-06-22	,0.0	,34.53333333333334	,17.316666666666666	,0.0	,None	,None	,34.53333333333334
2020-06-23	,0.0	,35.56666666666668	,19.083333333333336	,0.0	,None	,None	,35.56666666666668
2020-06-24	,0.0	,36.03333333333334	,20.36666666666667	,0.0	,None	,None	,36.03333333333334
2020-06-25	,0.0	,35.56	,19.0	,0.0	,None	,None	,35.56
2020-06-26	,0.0	,35.760000000000005	,20.000000000000007	,0.0	,None	,None	,35.760000000000005
2020-06-27	,0.0	,36.933333333333344	,19.38333333333334	,0.0	,None	,None	,36.933333333333344
2020-06-28	,0.0	,30.540000000000006	,13.220000000000002	,0.0	,None	,None	,None
2020-06-29	,0.0	,27.950000000000003	,11.283333333333335	,0.0	,None	,None	,None
2020-06-30	,0.0	,30.083333333333336	,13.916666666666668	,0.0	,None	,None	,None
2020-07-01	,0.0	,31.666666666666664	,15.083333333333336	,0.0	,None	,None	,None
